t,DV,PV_Exp,PV_DV_FOPDTOPT,PV_DV_SOPDTOPT
1.070000000000000000e+02,1.000000000000000000e+00,1.498499999999999832e-01,1.540347726536281936e-01,1.540392571171314562e-01
1.080000000000000000e+02,1.000000000000000000e+00,1.522750000000000214e-01,1.552456079107704112e-01,1.552531331241234214e-01
1.090000000000000000e+02,1.000000000000000000e+00,1.522750000000000214e-01,1.564494182447806747e-01,1.564599426109055669e-01
1.100000000000000000e+02,1.000000000000000000e+00,1.522750000000000214e-01,1.576462444122728179e-01,1.576597267069052288e-01
1.110000000000000000e+02,1.000000000000000000e+00,1.538750000000000395e-01,1.588361269334023496e-01,1.588525263032826429e-01
1.120000000000000000e+02,1.000000000000000000e+00,1.603250000000001063e-01,1.600191060932383558e-01,1.600383820541541324e-01
1.130000000000000000e+02,1.000000000000000000e+00,1.603250000000001063e-01,1.611952219431272981e-01,1.612173343778311729e-01
1.140000000000000000e+02,1.000000000000000000e+00,1.603250000000001063e-01,1.623645143020491510e-01,1.623894234580720020e-01
1.150000000000000000e+02,1.000000000000000000e+00,1.603250000000001063e-01,1.635270227579653790e-01,1.635546892453429435e-01
1.160000000000000000e+02,1.000000000000000000e+00,1.635500000000000287e-01,1.646827866691593645e-01,1.647131714580870043e-01
1.170000000000000000e+02,1.000000000000000000e+00,1.659750000000000669e-01,1.658318451655688419e-01,1.658649095839976328e-01
1.180000000000000000e+02,1.000000000000000000e+00,1.683749999999999969e-01,1.669742371501107547e-01,1.670099428812958642e-01
1.190000000000000000e+02,1.000000000000000000e+00,1.683749999999999969e-01,1.681100012999983129e-01,1.681483103800094081e-01
1.200000000000000000e+02,1.000000000000000000e+00,1.683749999999999969e-01,1.692391760680505286e-01,1.692800508832520701e-01
1.210000000000000000e+02,1.000000000000000000e+00,1.691999999999999893e-01,1.703617996839940363e-01,1.704052029685028113e-01
1.220000000000000000e+02,1.000000000000000000e+00,1.748250000000000637e-01,1.714779101557574459e-01,1.715238049888830885e-01
1.230000000000000000e+02,1.000000000000000000e+00,1.764499999999999957e-01,1.725875452707580915e-01,1.726358950744318610e-01
1.240000000000000000e+02,1.000000000000000000e+00,1.764499999999999957e-01,1.736907425971814245e-01,1.737415111333776574e-01
1.250000000000000000e+02,1.000000000000000000e+00,1.764499999999999957e-01,1.747875394852529685e-01,1.748406908534068660e-01
1.260000000000000000e+02,1.000000000000000000e+00,1.764499999999999957e-01,1.758779730685027798e-01,1.759334717029278072e-01
1.270000000000000000e+02,1.000000000000000000e+00,1.764499999999999957e-01,1.769620802650227198e-01,1.770198909323304204e-01
1.280000000000000000e+02,1.000000000000000000e+00,1.772500000000000742e-01,1.780398977787163439e-01,1.780999855752408156e-01
1.290000000000000000e+02,1.000000000000000000e+00,1.780499999999999861e-01,1.791114621005415186e-01,1.791737924497705803e-01
1.300000000000000000e+02,1.000000000000000000e+00,1.788500000000000922e-01,1.801768095097459332e-01,1.802413481597607003e-01
1.310000000000000000e+02,1.000000000000000000e+00,1.828750000000000930e-01,1.812359760750953674e-01,1.813026890960196535e-01
1.320000000000000000e+02,1.000000000000000000e+00,1.845000000000000528e-01,1.822889976560948255e-01,1.823578514375555348e-01
1.330000000000000000e+02,1.000000000000000000e+00,1.845000000000000528e-01,1.833359099042026485e-01,1.834068711528023810e-01
1.340000000000000000e+02,1.000000000000000000e+00,1.845000000000000528e-01,1.843767482640374655e-01,1.844497840008399447e-01
1.350000000000000000e+02,1.000000000000000000e+00,1.845000000000000528e-01,1.854115479745783168e-01,1.854866255326075297e-01
1.360000000000000000e+02,1.000000000000000000e+00,1.869250000000000911e-01,1.864403440703576720e-01,1.865174310921112744e-01
1.370000000000000000e+02,1.000000000000000000e+00,1.901250000000000717e-01,1.874631713826475365e-01,1.875422358176250248e-01
1.380000000000000000e+02,1.000000000000000000e+00,1.925499999999999712e-01,1.884800645406387587e-01,1.885610746428849349e-01
1.390000000000000000e+02,1.000000000000000000e+00,1.925499999999999712e-01,1.894910579726134525e-01,1.895739822982772660e-01
1.400000000000000000e+02,1.000000000000000000e+00,1.941750000000000698e-01,1.904961859071105379e-01,1.905809933120199140e-01
1.410000000000000000e+02,1.000000000000000000e+00,1.949750000000000094e-01,1.914954823740847023e-01,1.915821420113372198e-01
1.420000000000000000e+02,1.000000000000000000e+00,1.949750000000000094e-01,1.924889812060584515e-01,1.925774625236283677e-01
1.430000000000000000e+02,1.000000000000000000e+00,1.973999999999999921e-01,1.934767160392675822e-01,1.935669887776291231e-01
1.440000000000000000e+02,1.000000000000000000e+00,1.973999999999999921e-01,1.944587203147999932e-01,1.945507545045670195e-01
1.450000000000000000e+02,1.000000000000000000e+00,1.957750000000000878e-01,1.954350272797278631e-01,1.955287932393101058e-01
1.460000000000000000e+02,1.000000000000000000e+00,1.965749999999999997e-01,1.964056699882332502e-01,1.965011383215090057e-01
1.470000000000000000e+02,1.000000000000000000e+00,1.990000000000000102e-01,1.973706813027272522e-01,1.974678228967327032e-01
1.480000000000000000e+02,1.000000000000000000e+00,1.998000000000000886e-01,1.983300938949625336e-01,1.984288799175975282e-01
1.490000000000000000e+02,1.000000000000000000e+00,2.006000000000000005e-01,1.992839402471395238e-01,1.993843421448898423e-01
1.500000000000000000e+02,1.000000000000000000e+00,2.006000000000000005e-01,2.002322526530061209e-01,2.003342421486823399e-01
1.510000000000000000e+02,1.000000000000000000e+00,2.006000000000000005e-01,2.011750632189510390e-01,2.012786123094437996e-01
1.520000000000000000e+02,1.000000000000000000e+00,2.006000000000000005e-01,2.021124038650908561e-01,2.022174848191423957e-01
1.530000000000000000e+02,1.000000000000000000e+00,2.006000000000000005e-01,2.030443063263506487e-01,2.031508916823428490e-01
1.540000000000000000e+02,1.000000000000000000e+00,2.022249999999999881e-01,2.039708021535384386e-01,2.040788647172969983e-01
1.550000000000000000e+02,1.000000000000000000e+00,2.030250000000000665e-01,2.048919227144133937e-01,2.050014355570282942e-01
1.560000000000000000e+02,1.000000000000000000e+00,2.038250000000000062e-01,2.058076991947478673e-01,2.059186356504097704e-01
1.570000000000000000e+02,1.000000000000000000e+00,2.046499999999999986e-01,2.067181625993831928e-01,2.068304962632359634e-01
1.580000000000000000e+02,1.000000000000000000e+00,2.086749999999999994e-01,2.076233437532793435e-01,2.077370484792885330e-01
1.590000000000000000e+02,1.000000000000000000e+00,2.086749999999999994e-01,2.085232733025586815e-01,2.086383232013957201e-01
1.600000000000000000e+02,1.000000000000000000e+00,2.094750000000001333e-01,2.094179817155433776e-01,2.095343511524856428e-01
