omega,gain_DV_FOPDTOPT,gain_DV_SOPDTOPT,phase_DV_FOPDTOPT,phase_DV_SOPDTOPT
1.096488296137093860e-04,-8.809679130907715816e+00,-8.814038417589905805e+00,-1.148677021496802286e+00,-1.145376110432392736e+00
1.097751528298313353e-04,-8.809682664619140624e+00,-8.814041931710381306e+00,-1.150000086459026738e+00,-1.146695375484377388e+00
1.099016215792435240e-04,-8.809686206474541592e+00,-8.814045453929711726e+00,-1.151324674674627513e+00,-1.148016159422255100e+00
1.100282360296103777e-04,-8.809689756492685930e+00,-8.814048984266541709e+00,-1.152650787895000528e+00,-1.149338463992426895e+00
1.101549963487898114e-04,-8.809693314692371047e+00,-8.814052522739590501e+00,-1.153978427873551649e+00,-1.150662290943294419e+00
1.102819027048331619e-04,-8.809696881092449416e+00,-8.814056069367588009e+00,-1.155307596365693801e+00,-1.151987642025265046e+00
1.104089552659849978e-04,-8.809700455711817924e+00,-8.814059624169329865e+00,-1.156638295128847194e+00,-1.153314518990745663e+00
1.105361542006841905e-04,-8.809704038569401874e+00,-8.814063187163640123e+00,-1.157970525922449090e+00,-1.154642923594154658e+00
1.106634996775631954e-04,-8.809707629684188746e+00,-8.814066758369401455e+00,-1.159304290507946700e+00,-1.155972857591914593e+00
1.107909918654492178e-04,-8.809711229075201544e+00,-8.814070337805524957e+00,-1.160639590648808728e+00,-1.157304322742464864e+00
1.109186309333634948e-04,-8.809714836761502355e+00,-8.814073925490975014e+00,-1.161976428110518933e+00,-1.158637320806252813e+00
1.110464170505223247e-04,-8.809718452762204777e+00,-8.814077521444755092e+00,-1.163314804660585455e+00,-1.159971853545746168e+00
1.111743503863369862e-04,-8.809722077096465043e+00,-8.814081125685918394e+00,-1.164654722068541703e+00,-1.161307922725430819e+00
1.113024311104135483e-04,-8.809725709783476688e+00,-8.814084738233548322e+00,-1.165996182105941914e+00,-1.162645530111808156e+00
1.114306593925539548e-04,-8.809729350842488316e+00,-8.814088359106794002e+00,-1.167339186546374918e+00,-1.163984677473408835e+00
1.115590354027553194e-04,-8.809733000292784055e+00,-8.814091988324822324e+00,-1.168683737165454817e+00,-1.165325366580782784e+00
1.116875593112110642e-04,-8.809736658153699551e+00,-8.814095625906864129e+00,-1.170029835740833413e+00,-1.166667599206512085e+00
1.118162312883102150e-04,-8.809740324444605974e+00,-8.814099271872189334e+00,-1.171377484052193552e+00,-1.168011377125203865e+00
1.119450515046384445e-04,-8.809743999184924235e+00,-8.814102926240114044e+00,-1.172726683881259113e+00,-1.169356702113500956e+00
1.120740201309779644e-04,-8.809747682394124979e+00,-8.814106589029989891e+00,-1.174077437011793901e+00,-1.170703575950080344e+00
1.122031373383073895e-04,-8.809751374091712606e+00,-8.814110260261223573e+00,-1.175429745229600531e+00,-1.172052000415651607e+00
1.123324032978027678e-04,-8.809755074297250133e+00,-8.814113939953259091e+00,-1.176783610322530205e+00,-1.173401977292967802e+00
1.124618181808368896e-04,-8.809758783030328999e+00,-8.814117628125591963e+00,-1.178139034080477154e+00,-1.174753508366818799e+00
1.125913821589804659e-04,-8.809762500310595712e+00,-8.814121324797755008e+00,-1.179496018295389081e+00,-1.176106595424042611e+00
1.127210954040013701e-04,-8.809766226157748292e+00,-8.814125029989329008e+00,-1.180854564761260939e+00,-1.177461240253518060e+00
1.128509580878657355e-04,-8.809769960591516735e+00,-8.814128743719946257e+00,-1.182214675274144033e+00,-1.178817444646175217e+00
1.129809703827378199e-04,-8.809773703631684327e+00,-8.814132466009276357e+00,-1.183576351632146695e+00,-1.180175210394995844e+00
1.131111324609798425e-04,-8.809777455298078763e+00,-8.814136196877031537e+00,-1.184939595635431830e+00,-1.181534539295009179e+00
1.132414444951531095e-04,-8.809781215610568594e+00,-8.814139936342982651e+00,-1.186304409086227807e+00,-1.182895433143305253e+00
1.133719066580172276e-04,-8.809784984589073886e+00,-8.814143684426928971e+00,-1.187670793788821788e+00,-1.184257893739025791e+00
1.135025191225313236e-04,-8.809788762253562666e+00,-8.814147441148728390e+00,-1.189038751549570616e+00,-1.185621922883378421e+00
1.136332820618532859e-04,-8.809792548624038488e+00,-8.814151206528284987e+00,-1.190408284176894149e+00,-1.186987522379626459e+00
1.137641956493409975e-04,-8.809796343720568856e+00,-8.814154980585540144e+00,-1.191779393481287919e+00,-1.188354694033102898e+00
1.138952600585515769e-04,-8.809800147563240813e+00,-8.814158763340481428e+00,-1.193152081275313581e+00,-1.189723439651202641e+00
1.140264754632424357e-04,-8.809803960172212456e+00,-8.814162554813144368e+00,-1.194526349373612906e+00,-1.191093761043393151e+00
1.141578420373711968e-04,-8.809807781567677409e+00,-8.814166355023623112e+00,-1.195902199592904003e+00,-1.192465660021213347e+00
1.142893599550955048e-04,-8.809811611769877260e+00,-8.814170163992038454e+00,-1.197279633751980432e+00,-1.193839138398271604e+00
1.144210293907741512e-04,-8.809815450799094450e+00,-8.814173981738569807e+00,-1.198658653671722751e+00,-1.195214197990258187e+00
1.145528505189662876e-04,-8.809819298675677146e+00,-8.814177808283439219e+00,-1.200039261175091854e+00,-1.196590840614935480e+00
1.146848235144326870e-04,-8.809823155419993057e+00,-8.814181643646913145e+00,-1.201421458087137850e+00,-1.197969068092152645e+00
1.148169485521349705e-04,-8.809827021052477392e+00,-8.814185487849306000e+00,-1.202805246234997627e+00,-1.199348882243836512e+00
1.149492258072366650e-04,-8.809830895593602662e+00,-8.814189340910981940e+00,-1.204190627447900397e+00,-1.200730284894002464e+00
1.150816554551031080e-04,-8.809834779063894672e+00,-8.814193202852353082e+00,-1.205577603557170585e+00,-1.202113277868754437e+00
1.152142376713013392e-04,-8.809838671483921857e+00,-8.814197073693868845e+00,-1.206966176396224721e+00,-1.203497862996282697e+00
1.153469726316011035e-04,-8.809842572874305944e+00,-8.814200953456037269e+00,-1.208356347800581432e+00,-1.204884042106874498e+00
1.154798605119741869e-04,-8.809846483255702410e+00,-8.814204842159412578e+00,-1.209748119607857220e+00,-1.206271817032906757e+00
1.156129014885955820e-04,-8.809850402648830681e+00,-8.814208739824584526e+00,-1.211141493657774459e+00,-1.207661189608859820e+00
1.157460957378427560e-04,-8.809854331074447487e+00,-8.814212646472199708e+00,-1.212536471792157400e+00,-1.209052161671307024e+00
1.158794434362967759e-04,-8.809858268553359295e+00,-8.814216562122950904e+00,-1.213933055854941490e+00,-1.210444735058928689e+00
1.160129447607420778e-04,-8.809862215106429417e+00,-8.814220486797582410e+00,-1.215331247692172267e+00,-1.211838911612508562e+00
