omega,gain_FOPDTOPT,gain_SOPDTOPT,gain_SOPDTVDG,gain_FOPDTStrejc,gain_FOPDTBR,gain_FOPDTBR2,phase_FOPDTOPT,phase_SOPDTOPT,phase_SOPDTVDG,phase_FOPDTStrejc,phase_FOPDTBR,phase_FOPDTBR2
1.013912786648083565e-04,-9.916569044230794105e+00,-9.886694664183412584e+00,-1.105759520515146832e+01,-1.105718407411383986e+01,-1.105811432907986713e+01,-1.105732689459151885e+01,-9.862540424104183634e-01,-9.793909521813051189e-01,-5.675582317651358677e-01,-7.340799694009282339e-01,-1.092050891443355987e+00,-8.034024160541972659e-01
1.015080885975070345e-04,-9.916571327144204417e+00,-9.886696988482874815e+00,-1.105759694759868417e+01,-1.105718486879537110e+01,-1.105811726801867856e+01,-1.105732801849379499e+01,-9.873901251273426993e-01,-9.805191261758878785e-01,-5.682120396239016547e-01,-7.349256594663519104e-01,-1.093308789698239192e+00,-8.043279401009545415e-01
1.016250331035195901e-04,-9.916573615319599355e+00,-9.886699318139715587e+00,-1.105759869406259988e+01,-1.105718566530894442e+01,-1.105812021373113119e+01,-1.105732914498690000e+01,-9.885275161669178079e-01,-9.816485993749456407e-01,-5.688666005100589951e-01,-7.357723237503522862e-01,-1.094568136374033607e+00,-8.052545302355605950e-01
1.017421123378841962e-04,-9.916575908769099001e+00,-9.886701653166277026e+00,-1.105760044455246849e+01,-1.105718646365877689e+01,-1.105812316623282143e+01,-1.105733027407680602e+01,-9.896662170346099963e-01,-9.827793732734159127e-01,-5.695219152904383852e-01,-7.366199633750356579e-01,-1.095828933136772321e+00,-8.061821876855976843e-01
1.018593264558172553e-04,-9.916578207504860742e+00,-9.886703993574938565e+00,-1.105760219907757502e+01,-1.105718726384910688e+01,-1.105812612553940255e+01,-1.105733140576949936e+01,-9.908062292376090818e-01,-9.839114493679488316e-01,-5.701779848328647482e-01,-7.374685794637971803e-01,-1.097091181654393566e+00,-8.071109136800576067e-01
1.019766756127142798e-04,-9.916580511539065057e+00,-9.886706339378095620e+00,-1.105760395764720982e+01,-1.105718806588417991e+01,-1.105812909166654912e+01,-1.105733254007097877e+01,-9.919475542848379401e-01,-9.850448291569151582e-01,-5.708348100061618746e-01,-7.383181731413278603e-01,-1.098354883596752041e+00,-8.080407094493481379e-01
1.020941599641498384e-04,-9.916582820883920846e+00,-9.886708690588182691e+00,-1.105760572027070943e+01,-1.105718886976824145e+01,-1.105813206462997123e+01,-1.105733367698725722e+01,-9.930901936869525048e-01,-9.861795141404043896e-01,-5.714923916801525339e-01,-7.391687455336133361e-01,-1.099620040635616247e+00,-8.089715762252922548e-01
1.022117796658774064e-04,-9.916585135551667207e+00,-9.886711047217662696e+00,-1.105760748695740325e+01,-1.105718967550556542e+01,-1.105813504444543227e+01,-1.105733481652436190e+01,-9.942341489563385482e-01,-9.873155058202266465e-01,-5.721507307256563646e-01,-7.400202977679330996e-01,-1.100886654444669599e+00,-8.099035152411276917e-01
1.023295348738303013e-04,-9.916587455554569885e+00,-9.886713409279016318e+00,-1.105760925771667225e+01,-1.105719048310041153e+01,-1.105813803112870986e+01,-1.105733595868833774e+01,-9.953794216071226719e-01,-9.884528056999184464e-01,-5.728098280144968690e-01,-7.408728309728676020e-01,-1.102154726699516640e+00,-8.108365277315138231e-01
1.024474257441210863e-04,-9.916589780904928375e+00,-9.886715776784765097e+00,-1.105761103255788846e+01,-1.105719129255706434e+01,-1.105814102469563664e+01,-1.105733710348522969e+01,-9.965260131551649803e-01,-9.895914152847384848e-01,-5.734696844194967502e-01,-7.417263462782937022e-01,-1.103424259077680158e+00,-8.117706149325272236e-01
1.025654524330425868e-04,-9.916592111615056382e+00,-9.886718149747460771e+00,-1.105761281149047193e+01,-1.105719210387982265e+01,-1.105814402516206485e+01,-1.105733825092111644e+01,-9.976739251180699597e-01,-9.907313360816769610e-01,-5.741303008144846842e-01,-7.425808448153918828e-01,-1.104695253258610288e+00,-8.127057780816689947e-01
1.026836150970672804e-04,-9.916594447697304915e+00,-9.886720528179671064e+00,-1.105761459452384798e+01,-1.105719291707298524e+01,-1.105814703254389286e+01,-1.105733940100207846e+01,-9.988231590151797068e-01,-9.918725695994496938e-01,-5.747916780742901022e-01,-7.434363277166415873e-01,-1.105967710923678071e+00,-8.136420184178609905e-01
1.028019138928482052e-04,-9.916596789164064063e+00,-9.886722912094001003e+00,-1.105761638166746508e+01,-1.105719373214086332e+01,-1.105815004685705638e+01,-1.105734055373420688e+01,-9.999737163675831431e-01,-9.930151173485077809e-01,-5.754538170747504067e-01,-7.442927961158288808e-01,-1.107241633756185228e+00,-8.145793371814524786e-01
1.029203489772189187e-04,-9.916599136027731021e+00,-9.886725301503084040e+00,-1.105761817293080362e+01,-1.105719454908777699e+01,-1.105815306811752841e+01,-1.105734170912361769e+01,-1.001125598698115793e+00,-9.941589808410348228e-01,-5.761167186927095285e-01,-7.451502511480447843e-01,-1.108517023441364158e+00,-8.155177356142193634e-01
1.030389205071932814e-04,-9.916601488300750944e+00,-9.886727696419582045e+00,-1.105761996832335470e+01,-1.105719536791806057e+01,-1.105815609634131391e+01,-1.105734286717643577e+01,-1.002278807531357119e+00,-9.953041615909473672e-01,-5.767803838060164834e-01,-7.460086939496847203e-01,-1.109793881666374382e+00,-8.164572149593635197e-01
