t,MV,PV,DV
1.800000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,7.000000000000000000e+01
1.810000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,7.000000000000000000e+01
1.820000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,7.000000000000000000e+01
1.830000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,7.000000000000000000e+01
1.840000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,7.000000000000000000e+01
1.850000000000000000e+02,5.000000000000000000e+01,4.735600000000000165e+01,7.000000000000000000e+01
1.860000000000000000e+02,5.000000000000000000e+01,4.735600000000000165e+01,7.000000000000000000e+01
1.870000000000000000e+02,5.000000000000000000e+01,4.742099999999999937e+01,7.000000000000000000e+01
1.880000000000000000e+02,5.000000000000000000e+01,4.761399999999999721e+01,7.000000000000000000e+01
1.890000000000000000e+02,5.000000000000000000e+01,4.764600000000000080e+01,7.000000000000000000e+01
1.900000000000000000e+02,5.000000000000000000e+01,4.764600000000000080e+01,7.000000000000000000e+01
1.910000000000000000e+02,5.000000000000000000e+01,4.764600000000000080e+01,7.000000000000000000e+01
1.920000000000000000e+02,5.000000000000000000e+01,4.764600000000000080e+01,7.000000000000000000e+01
1.930000000000000000e+02,5.000000000000000000e+01,4.767900000000000205e+01,7.000000000000000000e+01
1.940000000000000000e+02,5.000000000000000000e+01,4.780799999999999983e+01,7.000000000000000000e+01
1.950000000000000000e+02,5.000000000000000000e+01,4.784000000000000341e+01,7.000000000000000000e+01
1.960000000000000000e+02,5.000000000000000000e+01,4.796900000000000119e+01,7.000000000000000000e+01
1.970000000000000000e+02,5.000000000000000000e+01,4.796900000000000119e+01,7.000000000000000000e+01
1.980000000000000000e+02,5.000000000000000000e+01,4.796900000000000119e+01,7.000000000000000000e+01
1.990000000000000000e+02,5.000000000000000000e+01,4.796900000000000119e+01,7.000000000000000000e+01
2.000000000000000000e+02,5.000000000000000000e+01,4.796900000000000119e+01,7.000000000000000000e+01
2.010000000000000000e+02,5.000000000000000000e+01,4.796900000000000119e+01,7.000000000000000000e+01
