tm,MVm,PVm
3.270000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.280000000000000000e+02,1.000000000000000000e+00,2.852000000000000091e-01
3.290000000000000000e+02,1.000000000000000000e+00,2.884250000000001535e-01
3.300000000000000000e+02,1.000000000000000000e+00,2.900250000000001438e-01
3.310000000000000000e+02,1.000000000000000000e+00,2.900250000000001438e-01
3.320000000000000000e+02,1.000000000000000000e+00,2.900250000000001438e-01
3.330000000000000000e+02,1.000000000000000000e+00,2.900250000000001438e-01
3.340000000000000000e+02,1.000000000000000000e+00,2.900250000000001438e-01
3.350000000000000000e+02,1.000000000000000000e+00,2.916500000000000759e-01
3.360000000000000000e+02,1.000000000000000000e+00,2.916500000000000759e-01
3.370000000000000000e+02,1.000000000000000000e+00,2.940500000000000336e-01
3.380000000000000000e+02,1.000000000000000000e+00,2.924499999999999877e-01
3.390000000000000000e+02,1.000000000000000000e+00,2.932500000000001217e-01
3.400000000000000000e+02,1.000000000000000000e+00,2.900250000000001438e-01
3.410000000000000000e+02,1.000000000000000000e+00,2.908250000000000557e-01
3.420000000000000000e+02,1.000000000000000000e+00,2.900250000000001438e-01
3.430000000000000000e+02,1.000000000000000000e+00,2.900250000000001438e-01
3.440000000000000000e+02,1.000000000000000000e+00,2.892250000000000654e-01
3.450000000000000000e+02,1.000000000000000000e+00,2.876000000000001333e-01
3.460000000000000000e+02,1.000000000000000000e+00,2.844000000000000972e-01
3.470000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.480000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.490000000000000000e+02,1.000000000000000000e+00,2.827749999999999986e-01
3.500000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.510000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.520000000000000000e+02,1.000000000000000000e+00,2.827749999999999986e-01
3.530000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.540000000000000000e+02,1.000000000000000000e+00,2.827749999999999986e-01
3.550000000000000000e+02,1.000000000000000000e+00,2.827749999999999986e-01
3.560000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.570000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.580000000000000000e+02,1.000000000000000000e+00,2.827749999999999986e-01
3.590000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.600000000000000000e+02,1.000000000000000000e+00,2.844000000000000972e-01
3.610000000000000000e+02,1.000000000000000000e+00,2.835750000000000770e-01
3.620000000000000000e+02,1.000000000000000000e+00,2.827749999999999986e-01
3.630000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.640000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.650000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.660000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.670000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.680000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.690000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.700000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.710000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.720000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.730000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.740000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.750000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.760000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.770000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.780000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.790000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.800000000000000000e+02,1.000000000000000000e+00,2.827749999999999986e-01
3.810000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.820000000000000000e+02,1.000000000000000000e+00,2.844000000000000972e-01
3.830000000000000000e+02,1.000000000000000000e+00,2.827749999999999986e-01
3.840000000000000000e+02,1.000000000000000000e+00,2.827749999999999986e-01
3.850000000000000000e+02,1.000000000000000000e+00,2.852000000000000091e-01
3.860000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
